second,speaker,compound,pos,neu,neg,text
1,Speaker B,0.0,0.0,1.0,0.0,I for it was my uh grandfather's.
2,Speaker B,0.0,0.0,1.0,0.0,I for it was my uh grandfather's.
3,Speaker B,0.0,0.0,1.0,0.0,I for it was my uh grandfather's.
4,Speaker A,0.4404,0.42,0.58,0.0,That makes it even better.
5,Speaker A,0.4404,0.42,0.58,0.0,That makes it even better.
6,Speaker B,0.296,0.216,0.784,0.0,Yeah. He he passed away a couple months ago.
7,Speaker A,-0.188,0.0,0.633,0.367,"Oh, I'm so sorry."
8,Speaker A,-0.188,0.0,0.633,0.367,"Oh, I'm so sorry."
9,Speaker B,0.7964,0.504,0.496,0.0,"No. Hey, love him. He's in a better place."
10,Speaker B,0.7964,0.504,0.496,0.0,"No. Hey, love him. He's in a better place."
11,Speaker B,0.7964,0.504,0.496,0.0,"No. Hey, love him. He's in a better place."
12,Speaker B,0.7783,0.254,0.746,0.0,"But um helped my grandma out. I was like, ""Let me help her get the clothes as much as I can."" So,"
13,Speaker A,0.0,0.0,1.0,0.0,my I'll take everything. Exactly.
14,Speaker A,0.0,0.0,1.0,0.0,my I'll take everything. Exactly.
15,Speaker B,0.0,0.0,1.0,0.0,He had something.
16,Speaker A,0.743,0.422,0.578,0.0,Did he like dress cool? That's my goal is like for my kids
17,Speaker A,0.743,0.422,0.578,0.0,Did he like dress cool? That's my goal is like for my kids
18,Speaker A,0.743,0.422,0.578,0.0,Did he like dress cool? That's my goal is like for my kids
19,Speaker A,0.743,0.422,0.578,0.0,Did he like dress cool? That's my goal is like for my kids
20,Speaker A,0.4767,0.254,0.746,0.0,like I want to collect leather jackets. I want to collect sweaters so that my kids can have
21,Speaker A,0.4767,0.254,0.746,0.0,like I want to collect leather jackets. I want to collect sweaters so that my kids can have
22,Speaker B,0.3612,0.294,0.706,0.0,Do you like to thrift at all?
23,Speaker B,0.3612,0.294,0.706,0.0,Do you like to thrift at all?
24,Speaker B,0.3612,0.294,0.706,0.0,Do you like to thrift at all?
25,Speaker B,0.3612,0.294,0.706,0.0,Do you like to thrift at all?
26,Speaker A,0.8402,0.5,0.5,0.0,"I love thrifting. Flea markets, thrift stores, like take me there please."
27,Speaker A,0.8402,0.5,0.5,0.0,"I love thrifting. Flea markets, thrift stores, like take me there please."
28,Speaker A,0.8402,0.5,0.5,0.0,"I love thrifting. Flea markets, thrift stores, like take me there please."
29,Speaker A,0.0,0.0,1.0,0.0,I will spend all my money.
30,Speaker A,0.0,0.0,1.0,0.0,I will spend all my money.
31,Speaker A,0.0,0.0,1.0,0.0,I will spend all my money.
