second,speaker,compound,pos,neu,neg,text
1,Speaker B,0.0,0.0,1.0,0.0,Hi. What's your name?
2,Speaker A,0.0,0.0,1.0,0.0,"Um, Alexis."
3,Speaker B,0.4215,0.483,0.517,0.0,Nice to meet you.
4,Speaker B,0.0,0.0,1.0,0.0,Nate.
5,Speaker A,0.2263,0.655,0.345,0.0,Nate. Okay.
6,Speaker B,0.0,0.0,1.0,0.0,"Where are you from? Uh, we"
7,Speaker B,0.0,0.0,1.0,0.0,"Where are you from? Uh, we"
8,Speaker A,0.0,0.0,1.0,0.0,You go to We went over this.
9,Speaker A,0.0,0.0,1.0,0.0,You go to We went over this.
10,Speaker B,0.1531,0.211,0.789,0.0,"Yeah, but we can do it again."
11,Speaker A,0.2263,0.322,0.678,0.0,Okay. I live in Irvine.
12,Speaker B,0.2263,0.322,0.678,0.0,Okay. I go to SDSU.
13,Speaker B,0.2263,0.322,0.678,0.0,Okay. I go to SDSU.
14,Speaker A,0.2263,0.322,0.678,0.0,Okay. I have a question.
15,Speaker A,0.0,0.0,1.0,0.0,"Say you're out, right?"
16,Speaker A,0.0,0.0,1.0,0.0,"Say you're out, right?"
17,Speaker B,0.0,0.0,1.0,0.0,Mhm.
18,Speaker A,0.0,0.0,1.0,0.0,You go up to talk to her. Mhm. What are you asking for?
19,Speaker A,0.0,0.0,1.0,0.0,You go up to talk to her. Mhm. What are you asking for?
20,Speaker A,0.0,0.0,1.0,0.0,You go up to talk to her. Mhm. What are you asking for?
21,Speaker A,0.6124,0.714,0.286,0.0,"Like, no. Like, wait."
22,Speaker A,0.6124,0.714,0.286,0.0,"Like, no. Like, wait."
23,Speaker A,0.6124,0.714,0.286,0.0,"Like, no. Like, wait."
24,Speaker A,0.4329,0.29,0.71,0.0,"Whoa. Like, what's your Instagram? What's your Snapchat?"
25,Speaker A,0.4329,0.29,0.71,0.0,"Whoa. Like, what's your Instagram? What's your Snapchat?"
26,Speaker A,0.4329,0.29,0.71,0.0,"Whoa. Like, what's your Instagram? What's your Snapchat?"
27,Speaker A,0.4329,0.29,0.71,0.0,"Whoa. Like, what's your Instagram? What's your Snapchat?"
28,Speaker A,0.168,0.217,0.783,0.0,What's your number? What's your go-to communication?
29,Speaker A,0.168,0.217,0.783,0.0,What's your number? What's your go-to communication?
